index,country code,country,année,quantile,nb_quantiles,log_income,income,gdpppp,gini,population,cluster
8371,PAK,Pakistan,2008,73,100,2.9836974009694175,963.1577,2335.0,30.0,171648986,2
8372,PAK,Pakistan,2008,74,100,2.9900074433873143,977.25397,2335.0,30.0,171648986,2
8373,PAK,Pakistan,2008,75,100,2.9976472977657913,994.59735,2335.0,30.0,171648986,2
8374,PAK,Pakistan,2008,76,100,3.004459638014,1010.3216,2335.0,30.0,171648986,2
8375,PAK,Pakistan,2008,77,100,3.0123052466796882,1028.7391,2335.0,30.0,171648986,2
8376,PAK,Pakistan,2008,78,100,3.019605915140564,1046.1788,2335.0,30.0,171648986,2
8377,PAK,Pakistan,2008,79,100,3.027663980260238,1065.7712,2335.0,30.0,171648986,2
8378,PAK,Pakistan,2008,80,100,3.0367568496827744,1088.3206,2335.0,30.0,171648986,2
8379,PAK,Pakistan,2008,81,100,3.0469386361787025,1114.1371,2335.0,30.0,171648986,2
8380,PAK,Pakistan,2008,82,100,3.056310871443692,1138.4419,2335.0,30.0,171648986,2
8381,PAK,Pakistan,2008,83,100,3.066179508028388,1164.6073,2335.0,30.0,171648986,2
8382,PAK,Pakistan,2008,84,100,3.075284078941443,1189.2799,2335.0,30.0,171648986,2
8383,PAK,Pakistan,2008,85,100,3.086532837642864,1220.4861,2335.0,30.0,171648986,2
8384,PAK,Pakistan,2008,86,100,3.1010022252521234,1261.8339999999998,2335.0,30.0,171648986,2
8385,PAK,Pakistan,2008,87,100,3.1153733654152242,1304.2876,2335.0,30.0,171648986,2
8386,PAK,Pakistan,2008,88,100,3.130012690128877,1349.0023,2335.0,30.0,171648986,2
8387,PAK,Pakistan,2008,89,100,3.142248892159264,1387.5508,2335.0,30.0,171648986,2
8388,PAK,Pakistan,2008,90,100,3.156850357581653,1434.9949,2335.0,30.0,171648986,2
8389,PAK,Pakistan,2008,91,100,3.1731856563189487,1489.9979,2335.0,30.0,171648986,2
8390,PAK,Pakistan,2008,92,100,3.189939423193455,1548.6006,2335.0,30.0,171648986,2
8391,PAK,Pakistan,2008,93,100,3.208618961610615,1616.661,2335.0,30.0,171648986,2
8392,PAK,Pakistan,2008,94,100,3.230344218241086,1699.5902,2335.0,30.0,171648986,2
8393,PAK,Pakistan,2008,95,100,3.258393683907686,1812.9828,2335.0,30.0,171648986,2
8394,PAK,Pakistan,2008,96,100,3.2962583641472163,1978.1461,2335.0,30.0,171648986,2
8395,PAK,Pakistan,2008,97,100,3.3392028782158754,2183.7498,2335.0,30.0,171648986,2
8396,PAK,Pakistan,2008,98,100,3.3938986891823935,2476.8442,2335.0,30.0,171648986,2
8397,PAK,Pakistan,2008,99,100,3.4841644037876884,3049.0490000000004,2335.0,30.0,171648986,2
8398,PAK,Pakistan,2008,100,100,3.711940617073392,5151.582,2335.0,30.0,171648986,2
6799,MEX,Mexico,2008,1,100,1.8356333422913347,68.490974,13434.0,49.9,23040000,3
6800,MEX,Mexico,2008,2,100,2.266397877812172,184.67065,13434.0,49.9,23040000,3
6801,MEX,Mexico,2008,3,100,2.4244027017582424,265.70682,13434.0,49.9,23040000,3
6802,MEX,Mexico,2008,4,100,2.5493554620430645,354.2872,13434.0,49.9,23040000,3
6803,MEX,Mexico,2008,5,100,2.631647636620809,428.20095999999995,13434.0,49.9,23040000,3
6804,MEX,Mexico,2008,6,100,2.6971500026434243,497.90903,13434.0,49.9,23040000,3
6805,MEX,Mexico,2008,7,100,2.7472183444904905,558.75104,13434.0,49.9,23040000,3
6806,MEX,Mexico,2008,8,100,2.7905797086505912,617.4186,13434.0,49.9,23040000,3
6807,MEX,Mexico,2008,9,100,2.823428814982509,665.93036,13434.0,49.9,23040000,3
6808,MEX,Mexico,2008,10,100,2.8614533987207436,726.8644,13434.0,49.9,23040000,3
6809,MEX,Mexico,2008,11,100,2.8913081911466785,778.58887,13434.0,49.9,23040000,3
6810,MEX,Mexico,2008,12,100,2.9120636722987254,816.7021,13434.0,49.9,23040000,3
6811,MEX,Mexico,2008,13,100,2.935373732493184,861.735,13434.0,49.9,23040000,3
